"serial","admin_level_0_code","admin_level_1_code","admin_level_2_code","district","admin_level_1_name","admin_level_2_name","event","location","year","month","day","deaths","injured","missing","affected","houses_destroyed","houses_damaged","others","sources","losses $loc","losses $usd","date","health","education","agriculture","industry","aqueduct","sewerage","energy","communication","cause","damaged roads","magnitude","damaged hospitals","damaged education centers","damage in crops Ha.","lost cattle","evacuated","relocated","latitude","longitude","comments","zero_shifts","one_shift","two_shifts","three_shifts","rainfall_2days","rainfall_3days","rainfall_4days","pcode","pcode_parent","Land area","Violent incidents last year","% persons with disability","% Access to safe drinking water","Nr. of educational facilities per 10,000 people","% Access to electricity","Average elevation","% employed","Drought exposure","Earthquake exposure","Flood exposure","Nr. of health facilities per 10,000 people","% Access improved sanitation","% Literacy","% having mosquito nets","% of orphans under 18","Population density","Population","Poverty incidence","% permanent roof type","% Subsistence farming","Travel time to nearest city","% permanent wall type","% with internet access","% with mobile access","# of displaced persons","# of displaced / local population","pcode_level2","Violent incidents last year (0-10)","Drought exposure (0-10)","Earthquake exposure (0-10)","Flood exposure (0-10)","Hazards exposure","% persons with disability (0-10)","% employed (0-10)","% Literacy (0-10)","% having mosquito nets (0-10)","% of orphans under 18 (0-10)","Poverty incidence (0-10)","% permanent roof type (0-10)","% Subsistence farming (0-10)","% permanent wall type (0-10)","Vulnerability","% Access to safe drinking water (0-10)","Nr. of educational facilities per 10,000 people (0-10)","% Access to electricity (0-10)","Nr. of health facilities per 10,000 people (0-10)","% Access improved sanitation (0-10)","Travel time to nearest city (0-10)","% with internet access (0-10)","% with mobile access (0-10)","Lack of Coping Capacity","Risk score"
2058,314,NA,NA,"ABIM",NA,NA,"FLOOD",NA,2007,7,0,0,0,0,0,0,0,NA,"Report from Min. of State for Disaster Preparedness, Relief and Refugees",0,0,2007-07-30,-1,-1,-1,-1,-1,0,0,0,"Heavy Rain",-1,NA,0,0,0,0,0,0,0,0,"The El-nino caused destruction of food crops in gardens and what had already been harvested by 98%. 
Roads and bridges collapsed.
A state of emergency was declared by His Excellency the President.
The figures of those affected(3,000,000) and relocated (300,000)captured in the Agago District data card are inclusive of Pader, Kitgum, Lamwo, Gulu, Amuru, Nwoya, Lira, Oyam, Apac, Otuke, Amolatar, Moroto, Abim, Kotido, Kaabong and Nakapiripirit.",53.9563778,45.627322,6.51781782,11.52255727,99.5836998,106.10151762,117.62407489,"21UGA008001","21UGA008",27519655,0,0.1681,0.9814,36438,0.0454,11764627,0.9187,0.1485,0,3e-04,20979,0.1486,0.5891,0.9738,0.1464,329094,90565589,0.7861,0.1584,0.8757,275353,0.1363,0.094,0.241,NA,NA,NA,0,39573,0,0.9618,13809,6078,0.5307,85784,0.6502,10,8154,92684,89475,87844,78389,0,87739,96304,24745,67492,86911,80286,7619,73778,61943
2107,314,NA,NA,"ABIM",NA,NA,"FLOOD",NA,2008,6,2,0,0,0,0,0,0,NA,"Letter from SAS/MSRDP & R",0,0,2008-06-02,0,0,-1,0,0,0,0,0,"Heavy Rain",0,NA,0,0,0,0,0,0,0,0,NA,21.449908,1.5251433,0.40157726,9.3726697,22.9750513,23.37662856,32.74929826,"21UGA008001","21UGA008",27519655,0,0.1681,0.9814,36438,0.0454,11764627,0.9187,0.1485,0,3e-04,20979,0.1486,0.5891,0.9738,0.1464,329094,90565589,0.7861,0.1584,0.8757,275353,0.1363,0.094,0.241,NA,NA,NA,0,39573,0,0.9618,13809,6078,0.5307,85784,0.6502,10,8154,92684,89475,87844,78389,0,87739,96304,24745,67492,86911,80286,7619,73778,61943
1091,314,314642,NA,"ABIM","NYAKWAE",NA,"FLOOD","TERA MOTH PARISH",2011,4,11,0,0,0,490,0,0,NA,"Letter from PS",0,0,2011-04-11,0,-1,-1,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,"Schools were affected by food shortage due to famine that resulted as from the drought.
The total number of children affected (25,940) is recorded in the Abim Sub-county, Kalakala Parish data card but is inclusive of those in Abim,Lotukei,Morulem,Nyakwae and Alerek Sub-counties.",0,0,0,1.9503045,0,0,1.9503045,"21UGA008001","21UGA008",27519655,0,0.1681,0.9814,36438,0.0454,11764627,0.9187,0.1485,0,3e-04,20979,0.1486,0.5891,0.9738,0.1464,329094,90565589,0.7861,0.1584,0.8757,275353,0.1363,0.094,0.241,NA,NA,NA,0,39573,0,0.9618,13809,6078,0.5307,85784,0.6502,10,8154,92684,89475,87844,78389,0,87739,96304,24745,67492,86911,80286,7619,73778,61943
782,314,NA,NA,"ABIM",NA,NA,"FLOOD",NA,2011,9,27,0,0,0,0,0,0,NA,"Report on",0,0,2011-09-27,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0.71743577,0.09314821,1.21812789,11.34081087,0.81058398,2.02871187,13.36952274,"21UGA008001","21UGA008",27519655,0,0.1681,0.9814,36438,0.0454,11764627,0.9187,0.1485,0,3e-04,20979,0.1486,0.5891,0.9738,0.1464,329094,90565589,0.7861,0.1584,0.8757,275353,0.1363,0.094,0.241,NA,NA,NA,0,39573,0,0.9618,13809,6078,0.5307,85784,0.6502,10,8154,92684,89475,87844,78389,0,87739,96304,24745,67492,86911,80286,7619,73778,61943
2522,314,314640,NA,"ABIM","LOTUKEI",NA,"FLOOD",NA,2012,7,0,0,0,0,0,0,0,NA,"OPM",0,0,2012-07-23,0,0,0,0,0,0,0,0,"Heavy Rain",0,NA,0,0,0,0,0,0,0,0,"Roads severely affected but other sectors were normal",43.732042,7.14759309,5.7483764,4.29194996,50.87963509,56.62801149,60.91996145,"21UGA008001","21UGA008",27519655,0,0.1681,0.9814,36438,0.0454,11764627,0.9187,0.1485,0,3e-04,20979,0.1486,0.5891,0.9738,0.1464,329094,90565589,0.7861,0.1584,0.8757,275353,0.1363,0.094,0.241,NA,NA,NA,0,39573,0,0.9618,13809,6078,0.5307,85784,0.6502,10,8154,92684,89475,87844,78389,0,87739,96304,24745,67492,86911,80286,7619,73778,61943
2523,314,314639,NA,"ABIM","ALEREK",NA,"FLOOD",NA,2012,7,0,0,0,0,0,0,0,NA,"OPM",0,0,2012-07-23,0,0,0,0,0,0,0,0,"Heavy Rain",-1,NA,0,0,0,0,0,0,0,0,"Roads severely affected but other sectors were normal",43.732042,7.14759309,5.7483764,4.29194996,50.87963509,56.62801149,60.91996145,"21UGA008001","21UGA008",27519655,0,0.1681,0.9814,36438,0.0454,11764627,0.9187,0.1485,0,3e-04,20979,0.1486,0.5891,0.9738,0.1464,329094,90565589,0.7861,0.1584,0.8757,275353,0.1363,0.094,0.241,NA,NA,NA,0,39573,0,0.9618,13809,6078,0.5307,85784,0.6502,10,8154,92684,89475,87844,78389,0,87739,96304,24745,67492,86911,80286,7619,73778,61943
2524,314,314641,NA,"ABIM","MORULEM",NA,"FLOOD",NA,2012,7,0,0,0,0,0,0,0,NA,"OPM",0,0,2012-07-23,0,0,0,0,0,0,0,0,"Heavy Rain",-1,NA,0,0,0,0,0,0,0,0,"Roads severely affected but other sectors were normal",43.732042,7.14759309,5.7483764,4.29194996,50.87963509,56.62801149,60.91996145,"21UGA008001","21UGA008",27519655,0,0.1681,0.9814,36438,0.0454,11764627,0.9187,0.1485,0,3e-04,20979,0.1486,0.5891,0.9738,0.1464,329094,90565589,0.7861,0.1584,0.8757,275353,0.1363,0.094,0.241,NA,NA,NA,0,39573,0,0.9618,13809,6078,0.5307,85784,0.6502,10,8154,92684,89475,87844,78389,0,87739,96304,24745,67492,86911,80286,7619,73778,61943
2525,314,314642,NA,"ABIM","NYAKWAE",NA,"FLOOD",NA,2012,7,0,0,0,0,0,0,0,NA,"OPM",0,0,2012-07-23,0,0,0,0,0,0,0,0,"Heavy Rain",-1,NA,0,0,0,0,0,0,0,0,"Roads severely affected but other sectors were normal",43.732042,7.14759309,5.7483764,4.29194996,50.87963509,56.62801149,60.91996145,"21UGA008001","21UGA008",27519655,0,0.1681,0.9814,36438,0.0454,11764627,0.9187,0.1485,0,3e-04,20979,0.1486,0.5891,0.9738,0.1464,329094,90565589,0.7861,0.1584,0.8757,275353,0.1363,0.094,0.241,NA,NA,NA,0,39573,0,0.9618,13809,6078,0.5307,85784,0.6502,10,8154,92684,89475,87844,78389,0,87739,96304,24745,67492,86911,80286,7619,73778,61943
475,301,NA,NA,"ADJUMANI",NA,NA,"FLOOD",NA,2006,12,7,0,0,0,0,0,0,NA,"Statement to parliament by the Minister of Sate on Economic Monitoring",0,0,2006-12-07,-1,0,-1,0,0,0,0,0,"El Niño",0,NA,0,0,0,0,0,0,0,0,"Report reflects that in the last 3 months, the el-nino phenomena led to floods in Adjumani.",3.7366051,5.47544284,4.79508478,0.54614598,9.21204794,14.00713272,14.5532787,"21UGA015001","21UGA015",31138387,6715,0.108,0.9397,2686,0.0857,8156874,0.6487,0.1027,0,0.002,1343,0.1791,0.6181,0.9379,0.1315,956508,2978411809,0.7158,0.1277,0.6779,4419819,0.2947,0.075,0.322,257104,0.863225156721186,NA,85095,27516,0,40274,46789,31463,35032,78748,25793,8552,72271,96082,68984,70496,68876,0.5139,91982,91389,57276,58915,97928,85714,64502,7719,65942
2105,301,NA,NA,"ADJUMANI",NA,NA,"FLOOD",NA,2008,6,2,0,0,0,0,0,0,NA,"Letter from SAS/MSRDP & R",0,0,2008-06-02,0,0,-1,0,0,0,0,0,"Heavy Rain",0,NA,0,0,0,0,0,0,0,0,NA,15.908976,3.2362245,2.59163984,13.5892487,19.1452005,21.73684034,35.32608904,"21UGA015001","21UGA015",31138387,6715,0.108,0.9397,2686,0.0857,8156874,0.6487,0.1027,0,0.002,1343,0.1791,0.6181,0.9379,0.1315,956508,2978411809,0.7158,0.1277,0.6779,4419819,0.2947,0.075,0.322,257104,0.863225156721186,NA,85095,27516,0,40274,46789,31463,35032,78748,25793,8552,72271,96082,68984,70496,68876,0.5139,91982,91389,57276,58915,97928,85714,64502,7719,65942
